#Data for Varese Copelli, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.8169745, longitude 8.82024911
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,co,co_min,co_max
2019-08-08,9,9,9,17,17,17,41,41,41,0.3,0.3,0.3
2019-08-07,9,9,9,15,15,15,49,49,49,0.3,0.3,0.3
2019-08-06,18,18,18,23,23,23,53,53,53,0.3,0.3,0.3
2019-08-05,12,12,12,21,21,21,41,41,41,0.3,0.3,0.3
2019-08-04,11,11,11,14,14,14,61,61,61,0.3,0.3,0.3
2019-08-03,6,6,6,7,7,7,54,54,54,0.3,0.3,0.3
2019-08-02,12,12,12,13,13,13,50,50,50,0.3,0.3,0.3
2019-08-01,12,12,12,16,16,16,44,44,44,0.3,0.3,0.3
2019-07-31,10,10,10,14,14,14,52,52,52,0.3,0.3,0.3
2019-07-30,8,8,8,10,10,10,42,42,42,0.3,0.3,0.3
2019-07-29,5,5,5,5,5,5,39,39,39,0.2,0.2,0.2
2019-07-28,10,10,10,14,14,14,47,47,47,0.3,0.3,0.3
2019-07-27,15,15,15,19,19,19,41,41,41,0.3,0.3,0.3
2019-07-26,20,20,20,30,30,30,57,57,57,0.3,0.3,0.3
2019-07-25,30,30,30,37,37,37,63,63,63,0.4,0.4,0.4
2019-07-24,29,29,29,34,34,34,44,44,44,0.3,0.3,0.3
2019-07-23,31,31,31,40,40,40,35,35,35,0.3,0.3,0.3
2019-07-22,29,29,29,37,37,37,40,40,40,0.3,0.3,0.3
2019-07-21,26,26,26,30,30,30,20,20,20,0.2,0.2,0.2
2019-07-20,22,22,22,35,35,35,28,28,28,0.3,0.3,0.3
2019-07-19,24,24,24,36,36,36,37,37,37,0.3,0.3,0.3
2019-07-18,25,25,25,36,36,36,41,41,41,0.3,0.3,0.3
2019-07-17,8,8,8,11,11,11,35,35,35,0.3,0.3,0.3
2019-07-16,7,7,7,8,8,8,26,26,26,0.3,0.3,0.3
2019-07-15,8,8,8,8,8,8,30,30,30,0.3,0.3,0.3
2019-07-14,9,9,9,11,11,11,27,27,27,0.3,0.3,0.3
2019-07-13,12,12,12,13,13,13,40,40,40,0.3,0.3,0.3
2019-07-12,14,14,14,22,22,22,39,39,39,0.3,0.3,0.3
2019-07-11,15,15,15,23,23,23,35,35,35,0.3,0.3,0.3
2019-07-10,17,17,17,20,20,20,26,26,26,0.3,0.3,0.3
2019-07-09,18,18,18,23,23,23,37,37,37,0.3,0.3,0.3
2019-07-08,12,12,12,18,18,18,34,34,34,0.3,0.3,0.3
2019-07-07,10,10,10,14,14,14,43,43,43,0.3,0.3,0.3
2019-07-06,19,19,19,25,25,25,37,37,37,0.3,0.3,0.3
2019-07-05,8,8,8,15,15,15,34,34,34,0.3,0.3,0.3
2019-07-04,"-","-","-","-","-","-",32,32,32,0.3,0.3,0.3
2019-07-03,14,14,14,22,22,22,36,36,36,0.3,0.3,0.3
2019-07-02,12,12,12,14,14,14,37,37,37,0.3,0.3,0.3
2019-07-01,21,21,21,31,31,31,34,34,34,0.3,0.3,0.3
2019-06-30,20,20,20,27,27,27,36,36,36,0.4,0.4,0.4
2019-06-29,18,18,18,26,26,26,45,45,45,0.4,0.4,0.4
2019-06-17,16,16,16,17,17,17,42,42,42,0.3,0.3,0.3
2019-06-16,7,7,7,10,10,10,30,30,30,0.3,0.3,0.3
2019-06-15,27,27,27,30,30,30,28,28,28,0.3,0.3,0.3
2019-06-14,17,17,17,21,21,21,43,43,43,0.3,0.3,0.3
2019-06-13,12,12,12,17,17,17,41,41,41,0.3,0.3,0.3
2019-06-12,23,23,23,26,26,26,30,30,30,0.4,0.4,0.4
2019-06-11,26,26,26,42,42,42,34,34,34,0.3,0.3,0.3
2019-06-10,20,20,20,26,26,26,40,40,40,0.4,0.4,0.4
2019-06-09,17,17,17,24,24,24,27,27,27,0.3,0.3,0.3
2019-06-08,17,17,17,23,23,23,45,45,45,0.3,0.3,0.3
2019-06-07,18,18,18,18,18,18,30,30,30,0.3,0.3,0.3
2019-06-06,26,26,26,31,31,31,36,36,36,0.4,0.4,0.4
2019-06-05,20,20,20,23,23,23,41,41,41,0.3,0.3,0.3
2019-06-04,18,18,18,21,21,21,43,43,43,0.3,0.3,0.3
2019-06-03,15,15,15,19,19,19,35,35,35,0.3,0.3,0.3
2019-06-02,13,13,13,16,16,16,44,44,44,0.3,0.3,0.3
2019-06-01,14,14,14,14,14,14,40,40,40,0.3,0.3,0.3
2019-05-31,9,9,9,11,11,11,36,36,36,0.3,0.3,0.3
2019-05-30,12,12,12,12,12,12,39,39,39,0.3,0.3,0.3
2019-05-29,"-","-","-","-","-","-",42,42,42,0.3,0.3,0.3
2019-05-28,6,6,6,7,7,7,37,37,37,0.3,0.3,0.3
2019-05-27,14,14,14,16,16,16,35,35,35,0.3,0.3,0.3
2019-05-26,11,11,11,15,15,15,42,42,42,0.3,0.3,0.3
2019-05-25,21,21,21,19,19,19,39,39,39,0.3,0.3,0.3
2019-05-24,"-","-","-","-","-","-",41,41,41,0.3,0.3,0.3
2019-05-23,"-","-","-","-","-","-",43,43,43,0.4,0.4,0.4
2019-05-22,14,14,14,18,18,18,38,38,38,0.4,0.4,0.4
2019-05-21,11,11,11,13,13,13,29,29,29,0.4,0.4,0.4
2019-05-20,11,11,11,14,14,14,31,31,31,0.4,0.4,0.4
2019-05-19,10,10,10,12,12,12,32,32,32,0.4,0.4,0.4
2019-05-18,8,8,8,11,11,11,41,41,41,0.4,0.4,0.4
2019-05-17,17,17,17,21,21,21,42,42,42,0.4,0.4,0.4
2019-05-16,17,17,17,19,19,19,38,38,38,0.4,0.4,0.4
2019-05-15,14,14,14,17,17,17,41,41,41,0.3,0.3,0.3
2019-05-14,14,14,14,16,16,16,41,41,41,0.3,0.3,0.3
2019-05-13,7,7,7,9,9,9,46,46,46,0.3,0.3,0.3
2019-05-12,5,5,5,5,5,5,31,31,31,0.4,0.4,0.4
2019-05-11,12,12,12,19,19,19,39,39,39,0.4,0.4,0.4
2019-05-10,18,18,18,19,19,19,48,48,48,0.4,0.4,0.4
2019-05-09,12,12,12,12,12,12,57,57,57,0.4,0.4,0.4
2019-05-08,15,15,15,19,19,19,46,46,46,0.4,0.4,0.4
2019-05-07,11,11,11,14,14,14,41,41,41,0.3,0.3,0.3
2019-05-06,11,11,11,11,11,11,49,49,49,0.3,0.3,0.3
2019-05-05,15,15,15,16,16,16,24,24,24,0.3,0.3,0.3
2019-05-04,10,10,10,9,9,9,42,42,42,0.3,0.3,0.3
2019-05-03,9,9,9,12,12,12,43,43,43,0.4,0.4,0.4
2019-05-02,13,13,13,19,19,19,47,47,47,0.4,0.4,0.4
2019-05-01,9,9,9,11,11,11,38,38,38,0.3,0.3,0.3
2019-04-30,10,10,10,9,9,9,63,63,63,0.4,0.4,0.4
2019-04-29,9,9,9,12,12,12,37,37,37,0.3,0.3,0.3
2019-04-28,5,5,5,6,6,6,43,43,43,0.3,0.3,0.3
2019-04-27,9,9,9,9,9,9,56,56,56,0.3,0.3,0.3
2019-04-26,15,15,15,24,24,24,47,47,47,0.4,0.4,0.4
2019-04-25,12,12,12,20,20,20,35,35,35,0.4,0.4,0.4
2019-04-24,18,18,18,20,20,20,50,50,50,0.4,0.4,0.4
2019-04-23,18,18,18,21,21,21,44,44,44,0.4,0.4,0.4
2019-04-22,17,17,17,20,20,20,35,35,35,0.3,0.3,0.3
2019-04-21,18,18,18,21,21,21,49,49,49,0.3,0.3,0.3
2019-04-20,16,16,16,20,20,20,47,47,47,0.3,0.3,0.3
2019-04-19,19,19,19,28,28,28,56,56,56,0.3,0.3,0.3
