#Data for Autostrada Sud km 107, BrennerLEC, Bolzano Alto Adige from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 46.4736128, longitude 11.3262304
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Qualità dell’aria | Agenzia provinciale per l'ambiente | Provincia autonoma di Bolzano - Alto Adige  http://umwelt.provinz.bz.it/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,so2,so2_min,so2_max
2019-03-24,15,15,15,20,20,20,52,10,94,44,38,50
2019-03-23,12,12,12,17,17,17,42,6,78,47,36,58
2019-03-22,12,12,12,20,20,20,32,7,57,60,59,61
2019-03-21,15,15,15,21,21,21,63,63,63,"-","-","-"
2019-03-20,9,9,9,15,15,15,58.3,33,85,30.3,23,43
2019-03-19,3,3,3,5,5,5,67.5,47,88,25,22,28
2019-03-18,2,2,2,3,3,3,92.5,88,97,8,8,8
2019-03-17,27,27,27,34,34,34,42,7,77,43,37,49
2019-03-16,19,19,19,24,24,24,13.5,2,25,49,48,50
2019-03-15,6,6,6,9,9,9,62,62,62,28.5,13,44
2019-03-14,13,13,13,18,18,18,63,63,63,43,43,43
2019-03-13,12,12,12,21,21,21,8,8,8,59,59,59
2019-03-12,4,4,4,8,8,8,64,64,64,46,46,46
2019-03-11,7,7,7,10,10,10,43,16,70,32,27,37
2019-03-10,16,16,16,22,22,22,3,3,3,58,58,58
2019-03-09,17,17,17,22,22,22,36.5,7,66,44,34,54
2019-03-08,18,18,18,24,24,24,35,11,59,42,42,42
2019-03-07,20,20,20,28,28,28,67.5,61,74,27,16,38
2019-03-06,17,17,17,26,26,26,28,5,51,52,43,61
