#Data for Borgofranco , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.04650286, longitude 11.18094889
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max
2019-06-09,"-","-","-",37,37,37,16,16,16
2019-06-08,"-","-","-",42,42,42,18,18,18
2019-06-07,"-","-","-",34,34,34,14,14,14
2019-06-06,"-","-","-",37,37,37,12,12,12
2019-06-05,"-","-","-",34,34,34,"-","-","-"
2019-06-04,"-","-","-",25,25,25,2,2,2
2019-06-03,"-","-","-",27,27,27,14,14,14
2019-06-02,"-","-","-",20,20,20,13,13,13
2019-06-01,"-","-","-",19,19,19,17,17,17
2019-05-31,"-","-","-",9,9,9,18,18,18
2019-05-30,"-","-","-",5,5,5,18,18,18
2019-05-29,"-","-","-","-","-","-",12,12,12
2019-05-28,"-","-","-",13,13,13,11,11,11
2019-05-27,"-","-","-",28,28,28,10,10,10
2019-05-25,"-","-","-","-","-","-",9,9,9
2019-05-24,"-","-","-",21,21,21,15,15,15
2019-05-23,"-","-","-",17,17,17,22,22,22
2019-05-22,"-","-","-",19,19,19,12,12,12
2019-05-21,"-","-","-",24,24,24,21,21,21
2019-05-20,"-","-","-",19,19,19,9,9,9
2019-05-19,"-","-","-",6,6,6,7,7,7
2019-05-18,"-","-","-",13,13,13,9,9,9
2019-05-17,"-","-","-",11,11,11,18,18,18
2019-05-16,"-","-","-",19,19,19,16,16,16
2019-05-15,"-","-","-",15,15,15,17,17,17
2019-05-14,"-","-","-",10,10,10,17,17,17
2019-05-13,"-","-","-",11,11,11,27,27,27
2019-05-12,"-","-","-",7,7,7,12,12,12
2019-05-11,"-","-","-",14,14,14,13,13,13
2019-05-10,"-","-","-",17,17,17,14,14,14
2019-05-09,"-","-","-",17,17,17,15,15,15
2019-05-08,"-","-","-",24,24,24,20,20,20
2019-05-07,"-","-","-",12,12,12,20,20,20
2019-05-06,"-","-","-",7,7,7,18,18,18
2019-05-05,"-","-","-",5,5,5,4,4,4
2019-05-04,"-","-","-",18,18,18,10,10,10
2019-05-03,"-","-","-",20,20,20,13,13,13
2019-05-02,"-","-","-",22,22,22,12,12,12
2019-05-01,"-","-","-",22,22,22,17,17,17
2019-04-30,"-","-","-",16,16,16,13,13,13
2019-04-29,"-","-","-",13,13,13,10,10,10
2019-04-28,"-","-","-",18,18,18,10,10,10
2019-04-27,"-","-","-",12,12,12,17,17,17
2019-04-26,"-","-","-",36,36,36,10,10,10
2019-04-25,"-","-","-",47,47,47,12,12,12
2019-04-24,"-","-","-",42,42,42,13,13,13
2019-04-23,"-","-","-",20,20,20,12,12,12
2019-04-22,100,100,100,38,38,38,10,10,10
2019-04-21,7,7,7,25,25,25,19,19,19
2019-04-20,3,3,3,22,22,22,21,21,21
2019-04-19,2,2,2,20,20,20,26,26,26
2019-04-18,6,6,6,26,26,26,25,25,25
2019-04-17,"-","-","-",41,41,41,49,49,49
2019-04-16,576,576,576,37,37,37,23,23,23
2019-04-15,11,11,11,19,19,19,29,29,29
2019-04-14,20,20,20,23,23,23,15,15,15
2019-04-13,21,21,21,26,26,26,17,17,17
2019-04-12,11,11,11,16,16,16,13,13,13
2019-04-11,12,12,12,25,25,25,10,10,10
2019-04-10,30,30,30,38,38,38,26,26,26
2019-04-09,"-","-","-",28,28,28,24,24,24
2019-04-08,"-","-","-",26,26,26,25,25,25
2019-04-07,"-","-","-",20,20,20,18,18,18
2019-04-06,"-","-","-",20,20,20,18,18,18
2019-04-05,"-","-","-","-","-","-",19,19,19
2019-04-04,20,20,20,626,626,626,13,13,13
2019-04-03,23,23,23,28,28,28,24,24,24
2019-04-02,31,31,31,39,39,39,23,23,23
2019-04-01,30,30,30,41,41,41,25,25,25
2019-03-31,36,36,36,99,99,99,32,32,32
2019-03-30,28,28,28,"-","-","-",40,40,40
2019-03-29,10,10,10,23,23,23,34,34,34
2019-03-28,8,8,8,"-","-","-",24,24,24
2019-03-27,10,10,10,"-","-","-",25,25,25
2019-03-26,"-","-","-",5,5,5,23,23,23
2019-03-25,30,30,30,48,48,48,40,40,40
2019-03-24,30,30,30,42,42,42,51,51,51
2019-03-23,29,29,29,38,38,38,30,30,30
2019-03-22,28,28,28,45,45,45,49,49,49
2019-03-21,13,13,13,24,24,24,51,51,51
2019-03-20,11,11,11,15,15,15,24,24,24
2019-03-19,7,7,7,8,8,8,17,17,17
2019-03-18,6,6,6,4,4,4,9,9,9
2019-03-17,27,27,27,44,44,44,14,14,14
2019-03-16,41,41,41,57,57,57,20,20,20
2019-03-15,31,31,31,44,44,44,32,32,32
2019-03-14,25,25,25,32,32,32,28,28,28
2019-03-13,18,18,18,27,27,27,29,29,29
2019-03-12,5,5,5,18,18,18,40,40,40
2019-03-11,10,10,10,23,23,23,13,13,13
2019-03-10,20,20,20,30,30,30,14,14,14
2019-03-09,10,10,10,21,21,21,19,19,19
2019-03-08,15,15,15,27,27,27,17,17,17
2019-03-07,32,32,32,45,45,45,19,19,19
2019-03-06,40,40,40,54,54,54,25,25,25
2019-03-05,44,44,44,55,55,55,39,39,39
2019-03-04,52,52,52,64,64,64,25,25,25
2019-03-03,57,57,57,69,69,69,40,40,40
2019-03-02,53,53,53,68,68,68,40,40,40
2019-03-01,46,46,46,57,57,57,34,34,34
2019-02-28,53,53,53,71,71,71,49,49,49
2019-02-27,45,45,45,68,68,68,34,34,34
2019-02-26,44,44,44,62,62,62,35,35,35
2019-02-25,35,35,35,52,52,52,24,24,24
2019-02-24,18,18,18,28,28,28,27,27,27
2019-02-23,16,16,16,37,37,37,30,30,30
2019-02-22,77,77,77,96,96,96,37,37,37
2019-02-21,61,61,61,82,82,82,44,44,44
2019-02-20,68,68,68,102,102,102,34,34,34
2019-02-19,60,60,60,80,80,80,40,40,40
2019-02-18,48,48,48,69,69,69,54,54,54
2019-02-17,70,70,70,96,96,96,38,38,38
2019-02-16,65,65,65,84,84,84,41,41,41
2019-02-15,54,54,54,70,70,70,37,37,37
2019-02-14,41,41,41,51,51,51,35,35,35
2019-02-13,20,20,20,26,26,26,49,49,49
2019-02-12,11,11,11,14,14,14,30,30,30
2019-02-11,27,27,27,35,35,35,25,25,25
2019-02-10,82,82,82,93,93,93,33,33,33
2019-02-09,63,63,63,74,74,74,37,37,37
2019-02-08,50,50,50,64,64,64,42,42,42
2019-02-07,54,54,54,66,66,66,44,44,44
2019-02-06,43,43,43,51,51,51,40,40,40
2019-02-05,31,31,31,38,38,38,34,34,34
2019-02-04,17,17,17,24,24,24,32,32,32
2019-02-03,26,26,26,30,30,30,29,29,29
2019-02-02,27,27,27,24,24,24,41,41,41
2019-02-01,16,16,16,24,24,24,36,36,36
2019-01-31,11,11,11,31,31,31,37,37,37
2019-01-30,13,13,13,21,21,21,42,42,42
2019-01-29,21,21,21,35,35,35,39,39,39
2019-01-28,"-","-","-",51,51,51,38,38,38
2019-01-27,59,59,59,59,59,59,41,41,41
2019-01-26,55,55,55,"-","-","-",46,46,46
2019-01-25,35,35,35,"-","-","-",39,39,39
2019-01-24,30,30,30,18,18,18,27,27,27
2019-01-23,21,21,21,12,12,12,21,21,21
2019-01-22,36,36,36,32,32,32,37,37,37
2019-01-21,44,44,44,"-","-","-",33,33,33
2019-01-20,40,40,40,36,36,36,44,44,44
2019-01-18,"-","-","-","-","-","-",36,36,36
2019-01-17,52,52,52,55,55,55,45,45,45
2019-01-16,40,40,40,55,55,55,47,47,47
2019-01-15,13,13,13,27,27,27,44,44,44
2019-01-14,41,41,41,52,52,52,42,42,42
2019-01-13,67,67,67,78,78,78,40,40,40
2019-01-12,38,38,38,53,53,53,45,45,45
2019-01-11,33,33,33,43,43,43,37,37,37
2019-01-10,19,19,19,26,26,26,32,32,32
2019-01-09,24,24,24,44,44,44,39,39,39
2019-01-08,49,49,49,64,64,64,40,40,40
2019-01-07,75,75,75,83,83,83,45,45,45
2019-01-06,67,67,67,74,74,74,40,40,40
2019-01-05,56,56,56,66,66,66,40,40,40
2019-01-04,29,29,29,30,30,30,42,42,42
2019-01-03,11,11,11,"-","-","-",40,40,40
2019-01-02,30,30,30,41,41,41,32,32,32
2019-01-01,55,55,55,63,63,63,38,38,38
