#Data for Cornale , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.04008561, longitude 8.91415717
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,o3,o3_min,o3_max,no2,no2_min,no2_max,co,co_min,co_max
2019-04-28,5,5,5,98,98,98,6,6,6,"-","-","-"
2019-04-27,5,5,5,95,95,95,9,9,9,"-","-","-"
2019-04-26,13,13,13,88,88,88,16,16,16,0.1,0.1,0.1
2019-04-25,19,19,19,77,77,77,15,15,15,0.1,0.1,0.1
2019-04-24,14,14,14,92,92,92,18,18,18,0.1,0.1,0.1
2019-04-23,10,10,10,84,84,84,16,16,16,0.1,0.1,0.1
2019-04-22,17,17,17,97,97,97,9,9,9,0.1,0.1,0.1
2019-04-21,17,17,17,94,94,94,22,22,22,0.1,0.1,0.1
2019-04-20,17,17,17,106,106,106,38,38,38,0.1,0.1,0.1
2019-04-19,18,18,18,107,107,107,51,51,51,0.1,0.1,0.1
2019-04-18,22,22,22,117,117,117,40,40,40,0.1,0.1,0.1
2019-04-17,20,20,20,137,137,137,48,48,48,0.1,0.1,0.1
2019-04-16,14,14,14,102,102,102,41,41,41,0.1,0.1,0.1
2019-04-15,11,11,11,95,95,95,34,34,34,0.2,0.2,0.2
2019-04-14,12,12,12,77,77,77,10,10,10,0.1,0.1,0.1
2019-04-13,17,17,17,84,84,84,10,10,10,0.1,0.1,0.1
2019-04-12,16,16,16,79,79,79,21,21,21,0.2,0.2,0.2
2019-04-11,12,12,12,79,79,79,23,23,23,0.2,0.2,0.2
2019-04-10,15,15,15,93,93,93,29,29,29,0.1,0.1,0.1
2019-04-09,11,11,11,109,109,109,50,50,50,0.1,0.1,0.1
2019-04-08,9,9,9,109,109,109,26,26,26,0.2,0.2,0.2
2019-04-07,21,21,21,84,84,84,15,15,15,0.2,0.2,0.2
2019-04-06,18,18,18,89,89,89,20,20,20,0.2,0.2,0.2
2019-04-05,7,7,7,100,100,100,17,17,17,0.2,0.2,0.2
2019-04-04,6,6,6,91,91,91,19,19,19,0.3,0.3,0.3
2019-04-03,13,13,13,111,111,111,41,41,41,0.3,0.3,0.3
2019-04-02,31,31,31,113,113,113,56,56,56,0.3,0.3,0.3
